geometry;og_line_id;type;censored;f_set;length;id;Area;b_group
LINESTRING Z (-25.212336522645177 8.786538865559695 0, -25.212336522645174 8.7865388655597 0, -25.212336522645174 8.7865388655597 0, -25.123822150323026 8.95742417971585 0);1;fracture;1;2;0.1924;;;-9999
LINESTRING Z (-25.123822150323026 8.95742417971585 0, -24.379162059910424 10.39506046579347 0, -24.379162059910424 10.39506046579347 0, -24.379162059910424 10.395060465793472 0);2;fracture;1;2;1.619;;;-9999
LINESTRING Z (-24.374670008058043 7.2977171997742545 0, -24.374670008058043 7.297717199774255 0, -24.374670008058043 7.297717199774255 0, -23.499439991447108 8.987430999055505 0);3;fracture;1;2;1.9029;;;-9999
LINESTRING Z (-23.499439991447108 8.987430999055505 0, -22.855585272736814 10.230453041592183 0);4;fracture;0;2;1.3999;;;-9999
LINESTRING Z (-22.855585272736814 10.230453041592183 0, -22.71911472386016 10.493922261404006 0, -22.71911472386016 10.493922261404006 0, -22.71911472386016 10.493922261404007 0);5;fracture;1;2;0.2967;;;-9999
LINESTRING Z (-19.604266521476788 16.507429442766163 0, -19.507313659325746 16.69460605456792 0);6;fracture;1;2;0.2108;;;-9999
LINESTRING Z (-19.507313659325746 16.69460605456792 0, -19.42206483156181 16.859186928065668 0);7;fracture;1;2;0.1853;;;-9999
LINESTRING Z (-23.61083331547041 5.66636012425264 0, -23.61083331547041 5.666360124252641 0, -23.61083331547041 5.666360124252641 0, -23.24658031617104 6.369584771104902 0);8;fracture;1;2;0.792;;;-9999
LINESTRING Z (-23.24658031617104 6.369584771104902 0, -22.654320848724616 7.512997332267157 0);9;fracture;0;2;1.2877;;;-9999
LINESTRING Z (-22.654320848724616 7.512997332267157 0, -21.939451710368488 8.893119385710861 0);10;fracture;0;2;1.5543;;;-9999
LINESTRING Z (-21.939451710368488 8.893119385710861 0, -21.704441583008318 9.346828522320427 0);11;fracture;1;2;0.511;;;-9999
LINESTRING Z (-21.432675291993117 9.871498887130363 0, -21.432675291993117 9.871498887130365 0, -21.432675291993117 9.871498887130365 0, -21.314746101634345 10.099172271846859 0);12;fracture;1;2;0.2564;;;-9999
LINESTRING Z (-21.2707014870609 10.184204539498001 0, -21.04011620452113 10.629371097344489 0);13;fracture;1;2;0.5013;;;-9999
LINESTRING Z (-18.090930890661895 16.32305050377277 0, -17.94980116692531 16.595514698510804 0);14;fracture;1;2;0.3068;;;-9999
LINESTRING Z (-17.94980116692531 16.595514698510804 0, -17.821016916336234 16.844144797136853 0);15;fracture;0;2;0.28;;;-9999
LINESTRING Z (-17.821016916336234 16.844144797136853 0, -17.273745026260276 17.90070461235072 0);16;fracture;1;2;1.1899;;;-9999
LINESTRING Z (-23.37657884834933 3.0125947934818282 0, -23.37657884834933 3.0125947934818287 0, -23.37657884834933 3.0125947934818287 0, -23.15021278085042 3.4496157601792774 0);17;fracture;1;2;0.4922;;;-9999
LINESTRING Z (-23.15021278085042 3.4496157601792774 0, -22.957844920265305 3.820999993352091 0);18;fracture;0;2;0.4182;;;-9999
LINESTRING Z (-22.957844920265305 3.820999993352091 0, -22.845917984993758 4.03708546054382 0);19;fracture;0;2;0.2434;;;-9999
LINESTRING Z (-22.845917984993758 4.03708546054382 0, -22.200604179517327 5.282924407204322 0);20;fracture;0;2;1.403;;;-9999
